# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 02:38:59 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmax < 5
# CONSTRAINT:  and pl_bmassj > 0.36)
# CONSTRAINT:  order by pl_radj asc, pl_orbsmax desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rastr,ra,decstr,dec
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,2013,,,,,2.7000000000,0.9000000000,-1.0000000000,0,13.00000000,,,0,1.16000000,,,0,4.10000000,1.70000000,-1.90000000,0,Mass,3.250000,,,0,,,,,,,,,,,,,,,,,K,,,,,,,,,0.560000,0.240000,-0.270000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17h58m49.44s,269.7060000,-30d11m48.95s,-30.1969306
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,2020,,,,,2.6300000000,0.4600000000,-0.6500000000,0,13.00000000,,,0,1.16000000,,,0,3.93000000,3.16000000,-2.17000000,0,Mass,3.130000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.500000,0.400000,-0.270000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17h42m51.76s,265.7156670,-27d26m08.02s,-27.4355611
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,2022,,,,,2.6000000000,0.6000000000,-0.8000000000,0,13.00000000,,,0,1.16000000,,,0,4.05000000,1.73000000,-1.85000000,0,Mass,3.220000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.790000,0.330000,-0.360000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17h58m22.99s,269.5957917,-27d34m00.98s,-27.5669389
KMT-2022-BLG-1818L b,KMT-2022-BLG-1818L,2026,,,,,2.6000000000,0.9000000000,-0.9000000000,0,13.00000000,,,0,1.16000000,,,0,4.00000000,1.24000000,-2.00000000,0,Mass,3.180000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.790000,0.240000,-0.400000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18h03m11.67s,270.7986250,-27d28m52.00s,-27.4811111
HD 216437 b,HD 216437,2002,1359.00000000000,1.00000000000,-1.00000000000,0,2.5700000000,0.0400000000,-0.0400000000,0,13.00000000,,,0,1.16000000,,,0,4.20000000,0.70000000,-0.70000000,0,Mass,3.340000,,,0,0.310000,0.010000,-0.010000,0,,,,,,,,,148.00000,5.00000,-7.00000,0,G1 V,5909.00,31.00,-31.00,0,1.394000,0.032000,-0.032000,0,1.220000,0.060000,-0.060000,0,0.2000,0.1000,-0.1000,0,[Fe/H],0.35000,,,0,4.188000,0.026000,-0.026000,0,4.9000,1.0000,-1.0000,0,0.459285,0.119939,-0.098647,0,3.7000,,,0,30.00000,,,0,22h54m39.35s,343.6639631,-70d04m24.22s,-70.0733957
OGLE-2017-BLG-1237L b,OGLE-2017-BLG-1237L,2024,,,,,2.5300000000,0.5000000000,-0.6400000000,0,13.00000000,,,0,1.16000000,,,0,3.80000000,2.49000000,-1.99000000,0,Mass,3.020000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.460000,0.300000,-0.240000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18h06m35.99s,271.6499583,-28d19m43.79s,-28.3288306
HD 28254 b,HD 28254,2010,1333.00000000000,4.00000000000,-4.00000000000,0,2.4500000000,0.0300000000,-0.0400000000,0,13.00000000,,,0,1.16000000,,,0,3.80000000,3.00000000,-2.20000000,0,Mass,3.020000,,,0,0.950000,0.030000,-0.040000,0,,,,,,,,,162.00000,7.00000,-27.00000,0,G5 V,5664.00,35.00,-35.00,0,1.480000,0.060000,-0.060000,0,1.100000,0.050000,-0.050000,0,0.0600,0.0200,-0.0200,0,[Fe/H],0.34000,,,0,4.120000,0.050000,-0.050000,0,6.0000,1.3000,-1.3000,0,0.357636,0.083114,-0.060781,0,2.3000,,,0,,,,,04h24m50.60s,66.2108141,-50d37m22.11s,-50.6228081
KELT-6 c,KELT-6,2015,1276.00000000000,81.00000000000,-67.00000000000,0,2.3900000000,0.1100000000,-0.1100000000,0,13.00000000,,,0,1.16000000,,,0,3.71000000,0.21000000,-0.21000000,0,Msini,2.950000,,,0,0.210000,0.039000,-0.036000,0,,,,,,,,,,,,,F8,6272.00,61.00,-61.00,0,1.529000,0.143000,-0.137000,0,1.126000,0.058000,-0.058000,0,-0.2700,0.0600,-0.0600,0,[Fe/H],0.49300,0.08600,-0.05800,0,4.120000,0.070000,-0.070000,0,4.9000,0.6600,-0.4600,0,0.440000,0.150000,-0.100000,0,4.5300,0.2600,-0.2600,0,,,,,13h03m55.64s,195.9818362,+30d38m24.52s,30.6401450
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,2022,,,,,2.3400000000,0.5600000000,-0.7400000000,0,13.00000000,,,0,1.16000000,,,0,3.67000000,2.17000000,-2.07000000,0,Mass,2.920000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.630000,0.370000,-0.350000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17h39m01.69s,264.7570417,-33d48m28.9s,-33.8080278
HD 73267 b,HD 73267,2008,1257.99159000000,0.50697000000,-0.60358000000,0,2.2290000000,0.0910000000,-0.1000000000,0,13.00000000,,,0,1.16000000,,,0,4.15800000,0.68100000,-0.51900000,0,Mass,3.310000,,,0,0.261000,0.004000,-0.004000,0,,,,,,,,,130.84300,7.61400,-7.66000,0,K0 V,5387.00,10.00,-10.00,0,0.909000,0.033000,-0.033000,0,0.930000,0.119000,-0.119000,0,0.0300,0.0200,-0.0200,0,[Fe/H],-0.10600,0.04700,-0.05300,0,4.447000,0.035000,-0.035000,0,8.1400,3.5050,-3.5050,0,1.601295,0.313187,-0.324652,0,1.6500,,,0,43.00000,,,0,08h36m17.64s,129.0735123,-34d27m34.01s,-34.4594469
HAT-P-44 c,HAT-P-44,2014,872.20000000000,1.70000000000,-1.70000000000,0,1.7520000000,0.0250000000,-0.0250000000,0,13.00000000,,,0,1.16000000,,,0,4.00000000,1.40000000,-0.80000000,0,Msini,3.180000,,,0,0.494000,0.081000,-0.081000,0,,,,,,,,,,,,,,5295.00,100.00,-100.00,0,0.949000,0.080000,-0.037000,0,0.942000,0.041000,-0.041000,0,0.3300,0.1000,-0.1000,0,[Fe/H],-0.19400,0.08600,-0.05800,0,4.460000,0.060000,-0.060000,0,7.5000,3.6000,-3.6000,0,1.099931,0.291707,-0.309826,0,0.2000,0.5000,-0.5000,0,,,,,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826
HD 128311 c,HD 128311,2005,921.53800000000,1.15000000000,-1.15000000000,0,1.7400000000,0.0100000000,-0.0100000000,0,13.00000000,,,0,1.16000000,,,0,3.78900000,0.92400000,-0.43200000,0,Mass,3.010000,,,0,0.159000,0.006000,-0.006000,0,,,,,,,,,55.95000,14.55300,-14.55300,0,K0,4965.00,44.00,-44.00,0,0.760000,0.020000,-0.020000,0,0.828000,0.008000,-0.012000,0,0.0800,0.0300,-0.0300,0,[Fe/H],-0.51160,0.00070,-0.00070,0,4.610000,0.010000,-0.020000,0,0.9600,,,1,2.609236,0.836932,-0.622248,0,3.6500,,,0,,,,,14h36m00.78s,219.0032292,+09d44m43.57s,9.7454368
HD 174205 b,HD 174205,2022,582.00000000000,17.00000000000,-17.00000000000,0,1.7000000000,0.1000000000,-0.1000000000,0,13.00000000,,,0,1.16000000,,,0,4.20000000,0.50000000,-0.50000000,0,Msini,3.340000,,,0,0.400000,0.200000,-0.200000,0,,,,,,,,,,,,,K2,4308.00,25.00,-25.00,0,26.600000,0.600000,-0.600000,0,1.800000,0.100000,-0.100000,0,-0.2800,0.3300,-0.3300,0,[Fe/H],2.37840,0.00362,-0.00365,0,1.800000,0.100000,-0.100000,0,1.7000,0.3000,-0.3000,0,,,,,1.6000,0.5000,-0.5000,0,,,,,18h43m10.37s,280.7932014,+70d47m34.17s,70.7928237
BD+20 274 b,BD+20 274,2012,578.20000000000,5.40000000000,-5.40000000000,0,1.3000000000,,,0,13.00000000,,,0,1.16000000,,,0,4.20000000,,,0,Msini,3.340000,,,0,0.210000,0.060000,-0.060000,0,,,,,,,,,,,,,K5 III,4296.00,10.00,-10.00,0,17.300000,0.900000,-0.900000,0,0.800000,0.200000,-0.200000,0,-0.4600,0.0700,-0.0700,0,[Fe/H],1.96000,0.18000,-0.18000,0,1.990000,0.050000,-0.050000,0,,,,,,,,,2.0000,1.5000,-1.5000,0,,,,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692
HD 92788 b,HD 92788,2000,325.80300000000,0.03652500000,-0.03652500000,0,0.9700000000,0.0200000000,-0.0200000000,0,13.00000000,,,0,1.16000000,,,0,3.76000000,0.16000000,-0.15000000,0,Msini,2.990000,,,0,0.350000,0.004000,-0.005000,0,,,,,,,,,,,,,G6 V,5744.00,24.00,-24.00,0,1.140000,0.020000,-0.020000,0,1.150000,0.070000,-0.070000,0,0.2700,0.0200,-0.0200,0,[Fe/H],0.02000,,,0,4.390000,0.040000,-0.040000,0,2.5500,1.5100,-1.5100,0,0.951434,0.253609,-0.202988,0,2.7190,,,0,31.00000,1.40000,-1.40000,0,10h42m48.51s,160.7021351,-02d11m04.98s,-2.1847173
14 And b,14 And,2008,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,13.10000000,,,0,1.16000000,,,0,3.55900000,0.11400000,-0.12200000,0,Msini,2.760000,,,0,0.000000,,,0,,,,,,,,,,,,,K0 III,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,-0.2100,0.1000,-0.1000,0,[Fe/H],1.83992,0.08135,-0.04991,0,2.550000,0.060000,-0.070000,0,4.5000,1.9000,-1.9000,0,,,,,2.6000,,,0,,,,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367
TOI-756 c,TOI-756,2025,149.40000000000,0.16000000000,-0.16000000000,0,0.4390000000,0.0050000000,-0.0050000000,0,13.00000000,,,0,1.16000000,,,0,4.05000000,0.11000000,-0.11000000,0,Msini,3.220000,,,0,0.445000,0.008000,-0.008000,0,0.2400,0.0200,-0.0200,0,194.00,5.00,-5.00,0,,,,,M1 V,3657.00,72.00,-72.00,0,0.505000,0.015000,-0.015000,0,0.505000,0.019000,-0.019000,0,0.1960,0.0290,-0.0290,0,[Fe/H],-1.38722,0.04043,-0.04458,0,4.735000,0.031000,-0.031000,0,3.2000,5.5000,-2.3000,0,5.520000,0.560000,-0.540000,0,,,,,,,,,12h48m24.90s,192.1037380,-45d28m13.70s,-45.4704709
HD 35759 b,HD 35759,2016,82.46700000000,0.01900000000,-0.01900000000,0,0.3890000000,0.0090000000,-0.0090000000,0,13.00000000,,,0,1.16000000,,,0,3.76000000,0.17000000,-0.17000000,0,Msini,2.990000,,,0,0.389000,0.006000,-0.006000,0,,,,,,,,,,,,,G0,6060.00,30.00,-30.00,0,1.759974,0.056500,-0.038739,0,1.150000,0.080000,-0.080000,0,0.0400,0.0200,-0.0200,0,[Fe/H],0.53724,0.00186,-0.00187,0,4.240000,0.030000,-0.030000,0,,,,,0.311309,0.085040,-0.050004,0,3.5000,1.0000,-1.0000,0,,,,,05h31m33.28s,82.8886636,+64d19m06.15s,64.3183753
CI Tau c,CI Tau,2024,25.20000000000,1.70000000000,-1.80000000000,0,0.1700000000,0.0800000000,-0.0800000000,0,13.00000000,,,0,1.16000000,,,0,3.60000000,0.30000000,-0.30000000,0,Msini,2.860000,,,0,0.580000,0.050000,-0.060000,0,,,,,,,,,,,,,K7,3807.00,131.00,-131.00,0,1.880857,0.086711,-0.415068,0,0.900000,0.020000,-0.020000,0,,,,,,-0.25458,0.00652,-0.00662,0,,,,,0.0025,0.0005,-0.0005,0,,,,,,,,,,,,,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192
HD 195019 b,HD 195019,1998,18.20132000000,0.00039000000,-0.00039000000,0,0.1400000000,0.0000000000,0.0000000000,0,13.00000000,,,0,1.16000000,,,0,3.98000000,0.17000000,-0.17000000,0,Msini,3.160000,,,0,0.010000,0.000000,0.000000,0,,,,,,,,,,,,,G3 IV-V,5751.00,21.00,-21.00,0,1.480000,0.030000,-0.030000,0,1.210000,0.080000,-0.080000,0,0.0500,,,0,[Fe/H],0.33310,0.01185,-0.01002,0,4.180000,0.020000,-0.020000,0,3.2000,,,0,0.449155,0.080507,-0.093983,0,2.4700,,,0,,,,,20h28m19.02s,307.0792427,+18d46m09.30s,18.7692509
HIP 14810 b,HIP 14810,2005,6.67389200000,0.00000800000,-0.00000800000,0,0.0696000000,0.0044000000,-0.0044000000,0,13.00000000,,,0,1.16000000,,,0,3.90000000,0.49000000,-0.49000000,0,Msini,3.100000,,,0,0.143990,0.000870,-0.000870,0,,,,,,,,,,,,,G5,5544.00,,,0,1.070000,0.080000,-0.080000,0,1.010000,0.190000,-0.190000,0,0.2400,,,0,[Fe/H],-0.01000,0.06000,-0.06000,0,4.320000,0.010000,-0.010000,0,5.8400,2.4200,-2.4200,0,1.277783,0.270560,-0.243550,0,0.5400,0.5000,-0.5000,0,,,,,03h11m14.23s,47.8092750,+21d05m49.67s,21.0971302
WASP-37 b,WASP-37,2010,3.57746900000,0.00001100000,-0.00001100000,0,0.0446000000,0.0019000000,-0.0019000000,0,13.00200000,0.78500000,-0.67300000,0,1.16000000,0.07000000,-0.06000000,0,1.80000000,0.17000000,-0.17000000,0,Mass,1.530000,0.160000,-0.200000,0,0.000000,,,0,545.3338,,,0,1232.50,,,0,88.82000,0.77000,-0.86000,0,,5800.00,150.00,-150.00,0,1.003000,0.053000,-0.053000,0,0.925000,0.120000,-0.120000,0,-0.4000,0.1200,-0.1200,0,[Fe/H],-0.02100,0.07700,-0.05500,0,4.250000,0.150000,-0.150000,0,11.0000,3.0000,-4.0000,0,1.237419,0.215311,-0.289749,0,2.4000,1.6000,,0,,,,,14h47m46.53s,221.9438866,+01d03m54.08s,1.0650227
WASP-70 A b,WASP-70 A,2014,3.71302030000,0.00000470000,-0.00000470000,0,0.0485300000,0.0006200000,-0.0006200000,0,13.04700000,0.81800000,-1.14300000,0,1.16400000,0.07300000,-0.10200000,0,0.59000000,0.02200000,-0.02200000,0,Mass,0.499000,0.138000,-0.080000,0,0.000000,,,0,649.1548,,,0,1387.00,40.00,-40.00,0,87.12000,1.24000,-0.65000,0,G4,5763.00,79.00,-79.00,0,1.215000,0.064000,-0.089000,0,1.106000,0.042000,-0.042000,0,-0.0060,0.0630,-0.0630,0,[Fe/H],0.16240,0.00734,-0.00746,0,4.314000,0.052000,-0.036000,0,9.5000,0.5000,-0.5000,0,0.872000,0.192000,-0.108000,0,1.8000,0.4000,-0.4000,0,,,,,21h01m54.53s,315.4771912,-13d26m00.18s,-13.4333821
TOI-4087 b,TOI-4087,2023,3.17748350000,0.00000094000,-0.00000094000,0,0.0446900000,0.0004800000,-0.0005400000,0,13.04725353,0.28022452,-0.26901554,0,1.16400000,0.02500000,-0.02400000,0,0.73000000,0.14000000,-0.14000000,0,Mass,0.570000,0.120000,-0.120000,0,0.000000,,,0,753.9000,41.1000,-33.8000,0,1458.00,20.00,-17.00,0,87.82000,0.37000,-0.33000,0,,6060.00,74.00,-67.00,0,1.112000,0.021000,-0.020000,0,1.178000,0.039000,-0.042000,0,0.2370,0.0790,-0.0790,0,[Fe/H],0.17609,0.02503,-0.02045,0,4.416000,0.015000,-0.016000,0,0.8000,1.2000,-0.6000,0,1.205000,0.060000,-0.058000,0,,,,,,,,,14h31m42.19s,217.9257785,+83d22m21.74s,83.3727061
HATS-77 b,HATS-77,2021,3.08762620000,0.00000160000,-0.00000160000,0,0.0360700000,0.0002500000,-0.0002500000,0,13.05846252,0.23538859,-0.23538859,0,1.16500000,0.02100000,-0.02100000,0,1.37400000,0.10000000,-0.07400000,0,Mass,1.077000,0.112000,-0.081000,0,0.045000,,,1,78.3700,2.1650,-2.1650,0,828.30,5.90,-5.90,0,88.44000,0.27000,-0.27000,0,,4071.00,13.00,-13.00,0,0.642800,0.006600,-0.006600,0,0.655000,0.014000,-0.014000,0,0.2530,0.0390,-0.0390,0,[Fe/H],-0.99183,0.01177,-0.01210,0,4.638000,0.014000,-0.014000,0,12.1000,5.0000,-5.0000,0,3.480000,0.170000,-0.120000,0,,,,,,,,,09h59m17.68s,149.8236672,-27d23m34.14s,-27.3928174
CoRoT-6 b,CoRoT-6,2009,8.88659300000,0.00000400000,-0.00000400000,0,0.0855000000,0.0015000000,-0.0015000000,0,13.06800000,0.39200000,-0.39200000,0,1.16600000,0.03500000,-0.03500000,0,2.96000000,0.34000000,-0.34000000,0,Mass,2.320000,0.310000,-0.310000,0,0.100000,,,1,,,,,1017.00,19.00,-19.00,0,89.07000,0.30000,-0.30000,0,F9 V,6090.00,70.00,-70.00,0,1.025000,0.026000,-0.026000,0,1.050000,0.050000,-0.050000,0,-0.2000,0.1000,-0.1000,0,[Fe/H],0.02573,0.01986,-0.02081,0,4.430000,0.100000,-0.100000,0,2.5000,2.1000,-1.7000,0,1.310000,0.090000,-0.090000,0,7.6000,1.0000,-1.0000,0,6.40000,0.50000,-0.50000,0,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062
WASP-50 b,WASP-50,2011,1.95510000000,0.00000500000,-0.00000500000,0,0.0293000000,0.0013000000,-0.0013000000,0,13.06969400,0.48198700,-0.48198700,0,1.16600000,0.04300000,-0.04300000,0,1.46880000,0.09200000,-0.09200000,0,Mass,1.325000,0.214000,-0.214000,0,0.009000,0.011000,-0.006000,0,690.3398,,,0,1394.84,32.70,-32.70,0,84.88000,0.27000,-0.27000,0,,5400.00,100.00,-100.00,0,0.843000,0.031000,-0.031000,0,0.892000,0.080000,-0.074000,0,-0.1200,0.0800,-0.0800,0,[Fe/H],-0.19792,0.00584,-0.00592,0,4.540000,0.020000,-0.020000,0,7.0000,3.5000,-3.5000,0,2.120000,0.300000,-0.300000,0,1.9700,0.1000,-0.1000,0,16.30000,0.50000,-0.50000,0,02h54m45.14s,43.6880738,-10d53m52.89s,-10.8980242
TOI-3688 A b,TOI-3688 A,2023,3.24607500000,0.00001200000,-0.00001200000,0,0.0456000000,0.0008900000,-0.0009800000,0,13.08088048,0.53803107,-0.49319515,0,1.16700000,0.04800000,-0.04400000,0,0.98000000,0.10000000,-0.11000000,0,Mass,0.760000,0.130000,-0.120000,0,0.000000,,,0,924.3000,72.0000,-66.1000,0,1534.00,29.00,-28.00,0,87.90000,1.20000,-1.00000,0,,5950.00,100.00,-100.00,0,1.302000,0.038000,-0.035000,0,1.199000,0.072000,-0.076000,0,0.2620,0.0850,-0.0860,0,[Fe/H],0.28330,0.03476,-0.03533,0,4.288000,0.031000,-0.035000,0,3.3000,2.2000,-1.7000,0,0.767000,0.073000,-0.074000,0,,,,,,,,,02h37m07.76s,39.2823371,+54d51m04.37s,54.8512152
TOI-5301 b,TOI-5301,2024,5.85885800000,0.00001600000,-0.00001600000,0,0.0730000000,0.0011000000,-0.0011000000,0,13.09208946,0.85188253,-0.78462865,0,1.16800000,0.07600000,-0.07000000,0,3.72000000,0.37000000,-0.37000000,0,Mass,2.880000,0.670000,-0.540000,0,0.330000,0.110000,-0.100000,0,429.7940,,,0,1648.00,34.00,-31.00,0,83.30000,1.90000,-1.00000,0,,6240.00,160.00,-160.00,0,2.190000,0.120000,-0.110000,0,1.483000,0.081000,-0.140000,0,0.0300,0.1300,-0.1100,0,[Fe/H],0.81624,0.03502,-0.03449,0,3.926000,0.052000,-0.061000,0,2.4300,1.1000,-0.4700,0,0.197000,0.036000,-0.032000,0,11.8000,0.1900,-0.1900,0,,,,,00h51m57.79s,12.9908008,+13d04m42.14s,13.0783712
HD 4732 c,HD 4732,2012,3184.20000000000,58.12000000000,-57.60000000000,0,4.7250000000,0.0570000000,-0.0570000000,0,13.10000000,,,0,1.17000000,,,0,3.36500000,0.11600000,-0.26900000,0,Msini,2.610000,,,0,0.187000,0.034000,-0.066000,0,,,,,,,,,,,,,K0 IV,4898.00,,,0,5.030000,0.120000,-0.130000,0,1.390000,0.150000,-0.170000,0,-0.0100,0.0500,-0.1100,0,[Fe/H],1.11826,0.02600,-0.02660,0,3.170000,0.050000,-0.060000,0,1.4700,0.2000,-0.2000,0,,,,,1.4500,,,0,,,,,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079
